페이지ID,페이지명,URL/Route,사용자구분,기능분류,상세설명,입력필드/기능목록,테스트시나리오,우선순위
AUTH-001,로그인,/login,공통,인증,"이메일/비밀번호로 로그인. 로그인 성공 시 사용자 role에 따라 관리자/학생 홈으로 자동 분기. 학생 계정은 관리자가 등록하며 학생은 관리자가 제공한 이메일/비밀번호로 로그인","이메일, 비밀번호","1. 올바른 관리자 계정 → 관리자 대시보드 이동 / 2. 올바른 학생 계정 → 학생 홈 이동 / 3. 잘못된 계정 → 에러 메시지 표시 / 4. 빈 필드 제출 → 유효성 검사 에러",P0
ADMIN-001,관리자 대시보드,/admin/dashboard,관리자,대시보드,"오늘의 출석 현황 요약, 최근 채팅 알림, 전체 학생 수 등 주요 지표 표시","오늘 출석률, 미출석 학생 수, 읽지 않은 메시지 수, 전체 학생 수","1. 대시보드 진입 → 통계 데이터 정상 로드 / 2. 데이터 없음 → 기본값(0) 표시 / 3. 새로고침 → 최신 데이터 반영",P0
ADMIN-002,학생 관리,/admin/students,관리자,학생 관리,"전체 학생 목록 조회, 검색, 신규 학생 등록, 학생 정보 수정/삭제 기능. 학생 추가 시 Supabase Auth에 계정 생성","학생 목록 조회, 이름 검색, 신규 학생 등록, 학생 상세 보기, 학생 정보 수정, 학생 삭제","1. 페이지 진입 → 학생 목록 로드 / 2. 검색어 입력 → 필터링된 결과 표시 / 3. 학생 추가 버튼 → 등록 폼 표시 / 4. 학생 삭제 → 확인 다이얼로그 후 삭제 처리 / 5. 학생 없음 → 빈 상태 UI 표시",P0
ADMIN-003,학생 등록,/admin/students/new,관리자,학생 관리,"신규 학생 정보 등록. Supabase Auth에 계정 생성 후 users 테이블에 상세 정보 저장","이름, 이메일, 비밀번호, 전화번호, 학부모 이름, 학부모 전화번호, 나이, 성별","1. 모든 필수 정보 입력 후 저장 → 학생 등록 성공 / 2. 중복 이메일 → 에러 메시지 / 3. 필수 필드 누락 → 유효성 검사 에러 / 4. 등록 성공 후 → 학생 목록 페이지로 이동",P0
ADMIN-004,학생 상세 정보,/admin/students/:id,관리자,학생 관리,"특정 학생의 상세 정보 조회 및 수정, 해당 학생의 출결 이력 조회 가능, 비밀번호 재설정","이름, 전화번호, 학부모 이름, 학부모 전화번호, 나이, 성별","1. 상세 페이지 진입 → 학생 정보 로드 / 2. 정보 수정 후 저장 → 성공 메시지 표시 / 3. 출결 이력 탭 → 해당 학생 출결 기록 표시 / 4. 비밀번호 재설정 → 새 비밀번호 설정 성공",P1
ADMIN-005,출결 관리,/admin/attendance,관리자,출결 관리,"날짜별 전체 학생 출결 현황 조회, 출결 상태 직접 수정, 출결 기록 추가","날짜 선택, 출결 현황 목록 조회, 출결 상태 변경 (출석/지각/결석/공결), 비고 입력","1. 날짜 선택 → 해당 날짜 출결 현황 표시 / 2. 출결 상태 변경 → 즉시 DB 업데이트 / 3. 비고 입력 → 저장 성공 / 4. 출결 기록 없는 날짜 → 빈 목록 표시",P0
ADMIN-006,출결 통계,/admin/attendance/stats,관리자,출결 관리,"기간별 출결 통계 조회, 학생별 출석률 차트 표시","기간 선택 (주간/월간), 전체 출석률, 학생별 출석률 순위, 차트 시각화","1. 기간 선택 → 통계 데이터 로드 / 2. 차트 렌더링 → 정상 표시 / 3. 데이터 없는 기간 → 안내 메시지 표시",P2
ADMIN-007,채팅 관리,/admin/chats,관리자,채팅,"모든 학생과의 1:1 채팅방 목록 조회, 읽지 않은 메시지 표시, 최근 메시지 미리보기","채팅방 목록 조회, 안 읽은 메시지 배지 표시, 채팅방 진입","1. 페이지 진입 → 채팅방 목록 로드 / 2. 새 메시지 도착 → 실시간 배지 업데이트 / 3. 채팅방 클릭 → 채팅 상세로 이동",P1
ADMIN-008,1:1 채팅 (관리자),/admin/chats/:roomId,관리자,채팅,"특정 학생과의 1:1 채팅, 실시간 메시지 송수신, 읽음 상태 표시","메시지 목록 조회, 메시지 전송, 실시간 수신 (Supabase Realtime), 읽음 처리","1. 채팅방 진입 → 이전 메시지 로드 / 2. 메시지 전송 → 즉시 화면에 표시 + DB 저장 / 3. 상대방 메시지 수신 → 실시간 표시 / 4. 채팅방 진입 시 → 안 읽은 메시지 읽음 처리",P1
STU-001,학생 홈,/student/home,학생,홈,"오늘의 출석 상태 표시, 출석 체크 버튼, 최근 출결 기록 요약 표시","오늘 출석 여부, 이번 달 출석률, 최근 5일 출결 기록","1. 홈 진입 → 오늘 출석 상태 표시 / 2. 출석 체크 전 → '미출석' 표시 + 체크 버튼 활성 / 3. 출석 체크 후 → '출석 완료' 표시 + 버튼 비활성",P0
STU-002,출석 체크,(홈 페이지 내 기능),학생,출결,"당일 출석 체크 버튼. 한 번 체크 후 중복 체크 불가. 시간에 따라 출석/지각 자동 구분 (09:00 이전→출석, 09:00~09:30→지각, 이후→결석)",출석 체크 버튼,"1. 출석 시간 내 체크 → '출석' 기록 / 2. 지각 시간 체크 → '지각' 기록 / 3. 이미 체크함 → 버튼 비활성 + 안내 메시지 / 4. 결석 처리 시간 → 버튼 숨김 또는 비활성",P0
STU-003,나의 출결,/student/attendance,학생,출결,"본인의 출결 이력 조회 (월별 캘린더 뷰 + 목록 뷰)","월 변경, 캘린더에 출결 상태 아이콘 표시, 상세 목록 보기","1. 페이지 진입 → 이번 달 출결 캘린더 표시 / 2. 날짜 클릭 → 해당 날짜 상세 정보 / 3. 월 변경 → 해당 월 데이터 로드 / 4. 출결 기록 없는 달 → 빈 캘린더 표시",P1
STU-004,선생님과 채팅,/student/chat,학생,채팅,"담당 관리자(선생님)와 1:1 채팅. 채팅방이 없으면 자동 생성","채팅방 자동 생성/조회, 메시지 전송, 실시간 수신, 읽음 상태 표시","1. 첫 진입 시 채팅방 없음 → 자동 생성 / 2. 메시지 전송 → 즉시 표시 + DB 저장 / 3. 선생님 메시지 수신 → 실시간 표시 / 4. 이전 대화 있음 → 메시지 히스토리 로드",P1
STU-005,내 정보,/student/profile,학생,설정,"본인 정보 조회 (이름, 전화번호, 학부모 정보, 나이, 성별), 비밀번호 변경 가능. 정보 수정은 관리자만 가능","프로필 정보 조회, 비밀번호 변경, 로그아웃","1. 페이지 진입 → 내 정보 표시 / 2. 비밀번호 변경 → 성공 메시지 / 3. 로그아웃 → 로그인 페이지로 이동",P2
COMMON-001,스플래시,/,공통,시스템,"앱 시작 시 로딩 화면, 로그인 상태 확인 후 적절한 화면으로 라우팅",로딩 애니메이션,"1. 로그인 상태 → role에 따라 대시보드/홈 이동 / 2. 비로그인 상태 → 로그인 페이지 이동",P0
COMMON-002,네비게이션,(모든 페이지 공통),공통,UI,"관리자: 대시보드, 학생관리, 출결관리, 채팅, 설정 / 학생: 홈, 출결, 채팅, 설정",하단 네비게이션 바,"1. 각 탭 클릭 → 해당 페이지로 이동 / 2. 현재 탭 표시 → 아이콘/텍스트 강조",P0
